date,region_code,visitor_estimate_q50,demand_scenario,data_basis,parking_capacity_basis,permanent_capacity_available,temporary_capacity_available,peak_spaces_required,permanent_spaces_open,temporary_spaces_open,unserved_spaces,capacity_status,parking_transfer_vehicle_demand,parking_transfer_visitor_demand,parking_management_action,maximum_headway_minutes,operational_anchor_id,headway_evidence_scope,headway_parameter_role,recommended_shuttle_vehicles,entry_early_shift,entry_middle_shift,entry_late_shift,entry_staff_shifts,parking_early_shift,parking_middle_shift,parking_late_shift,parking_staff_shifts,driver_early_shift,driver_middle_shift,driver_late_shift,driver_staff_shifts,recommended_total_staff_shifts,output_status,forecast_quantile,parameter_basis,parameter_note,average_party_size,transfer_share,season,selected_temporary_spaces,selected_shuttle_vehicles,selected_staff_shifts,parking_unserved_spaces,shuttle_shortfall,staff_shortfall,standardized_experience_loss,relative_operating_cost,objective,risk_penalty,optimization_status,traveler_time_loss_cny_low,traveler_time_loss_hours,traveler_time_loss_cny_central,traveler_time_loss_cny_high,vot_cost_status
2026-01-01,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-02,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-03,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-04,BDH,1264.6266429119637,conservative,derived_planning_value,historical_reference_scenario,10000,0,51,51,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,1,0,1,2,0,1,0,1,0,3,0,3,6,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-05,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-06,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-07,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-08,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-09,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
2026-01-10,BDH,3947.773837667658,conservative,derived_planning_value,historical_reference_scenario,10000,0,157,157,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,15,PS-A01,"2024 summer tourism bus day schedule: 15-minute headway; used as a service-level planning benchmark, not a fleet ledger.",service_level_planning_constraint__not_actual_fleet_or_trip_ledger,3,2,1,2,5,1,0,1,2,0,3,0,3,10,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",3.2,0.05,low_season,0.0,3.0,10.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score,0.0,0.0,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger
