data_layer,数据获取方,来源编号,附录表号,景区类型,示例景区,空间类型,人均空间承载指标,单位,来源,可信度,备注,per_capita_space_lower_m2,per_capita_space_upper_m2,per_capita_space_baseline_m2
L0,用户提供,L0-C20,表A.1,文物古迹类,八达岭长城,核心景区,1-1.1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,1.1,1.05
L0,用户提供,L0-C20,表A.1,文物古迹类,故宫博物院,核心景区,0.8-3,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.8,3.0,1.9
L0,用户提供,L0-C20,表A.1,文物古迹类,龙门石窟、敦煌莫高窟,核心景区,0.5-1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.5,1.0,0.75
L0,用户提供,L0-C20,表A.1,文物古迹类,龙门石窟、敦煌莫高窟,洞窟等卡口,2-5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.0,5.0,3.5
L0,用户提供,L0-C20,表A.2,文化遗址类,秦始皇兵马俑博物馆,遗址核心区,2.5-10,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.5,10.0,6.25
L0,用户提供,L0-C20,表A.2,文化遗址类,秦始皇兵马俑博物馆,（次级区，原表第二列）,1-3,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,3.0,2.0
L0,用户提供,L0-C20,表A.3,古建筑类,黄鹤楼、永定土楼,核心景区,1-3,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,3.0,2.0
L0,用户提供,L0-C20,表A.3,古建筑类,黄鹤楼、永定土楼,其他区域,2.5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.5,2.5,2.5
L0,用户提供,L0-C20,表A.4,古街区类,周村古商城,核心景区,2-5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.0,5.0,3.5
L0,用户提供,L0-C20,表A.4,古街区类,周村古商城,其他区域,1-2,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,2.0,1.5
L0,用户提供,L0-C20,表A.4,古街区类,周村古商城,保护建筑,0-30,人/栋,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.0,30.0,15.0
L0,用户提供,L0-C20,表A.5,古典园林类,（原表未列具体景区）,其他区域,0.8-2,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.8,2.0,1.4
L0,用户提供,L0-C20,表A.5,古典园林类,（原表未列具体景区）,（特殊区，如水面）,60,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,60.0,60.0,60.0
L0,用户提供,L0-C20,表A.6,山岳类,吉林长白山景区,核心景区,1-1.5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,1.5,1.25
L0,用户提供,L0-C20,表A.6,山岳类,吉林长白山景区,其他区域,0.5-1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.5,1.0,0.75
L0,用户提供,L0-C20,表A.7,主题公园类,中华恐龙园,核心景区,0.5-1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.5,1.0,0.75
L0,用户提供,L0-C20,表A.7,主题公园类,中华恐龙园,核心游乐项目等候区,0.5-1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.5,1.0,0.75
